frame,matches,cx,cy,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,kcx,kcy,ktl_x,ktl_y,ktr_x,ktr_y,kbl_x,kbl_y,kbr_x,kbr_y
114,151,302.8656,227.85004,375.98203,340.68167,242.53049,335.82117,364.8871,118.46809,240.73581,131.66556,309.50064,220.95447,370.82993,326.89636,248.41176,319.7943,366.32962,130.33835,254.0967,124.942665
115,153,303.10025,228.41872,376.45023,341.15747,245.04434,335.83652,363.9181,117.53651,241.33884,133.18973,307.40442,222.67172,372.39017,330.02405,246.1298,324.46707,365.3665,127.78094,249.22789,126.263115
116,145,302.7339,228.04297,376.32407,339.24313,242.88916,339.48392,361.81345,119.65731,238.25397,130.30267,305.74268,224.05118,373.58853,332.20584,244.10315,328.96017,364.17255,126.06262,244.94164,126.82137
117,146,302.3541,227.74077,375.58215,336.09576,241.92642,339.0336,361.8498,119.79288,235.6409,128.7158,304.36295,225.10825,374.36838,333.2793,242.38306,332.42215,363.24683,124.6586,241.04845,126.969025
118,145,301.994,227.50363,375.23056,332.87747,241.24371,340.63217,361.23795,118.83357,231.79378,126.182785,303.226,225.90321,374.89087,333.4346,240.97824,335.4698,362.4027,123.288864,237.23364,126.57383
119,143,300.18427,227.34145,374.24173,331.22125,239.73335,341.32462,358.99362,118.1364,227.53224,125.11687,301.84613,226.5466,375.13245,333.21085,239.41895,338.2802,361.1769,121.945305,232.97484,125.99636
120,148,299.58984,227.02585,373.42706,328.3712,237.22377,343.04807,358.24063,119.56743,224.48953,123.625916,300.59576,226.99786,375.12308,332.3616,237.64645,340.95404,359.98892,121.1005,228.80807,125.19229
121,150,297.73267,227.4306,375.90344,337.02353,240.02666,338.50452,357.13736,114.841255,228.43803,129.9827,299.21872,227.3767,375.59525,333.4707,236.9194,342.0336,358.80066,119.38709,226.40652,125.92102
122,142,296.2031,227.7491,374.34644,336.80643,237.37526,343.0518,354.08942,116.02959,226.28317,129.86647,297.9516,227.69759,375.58377,334.3205,236.0782,343.47046,357.32196,118.30501,224.55487,126.58046
123,155,295.46564,227.98538,371.5173,332.76175,237.21736,342.63,353.22632,116.05107,222.85893,127.646324,296.59875,228.05508,375.0017,334.24152,235.19308,344.79633,355.7643,117.30127,221.9809,126.68337
